,Name,Death Date,Death Date+2,News Date(EST)
1,Pat_Harrington,01/06/16,01/08/16,01/07/16
2,David_Bowie,01/10/16,01/12/16,01/11/16
3,Rene_Angelil,01/14/16,01/16/16,01/14/16
4,Alan_Rickman,01/14/16,01/16/16,01/14/16
5,Dan_Haggerty,01/15/16,01/17/16,01/15/16
6,Glenn_Frey,01/18/16,01/20/16,01/19/16
7,Abe_Vigoda,01/26/16,01/28/16,01/26/16
8,Paul_Kantner,01/28/16,01/30/16,01/28/16
9,Joe_Alaskey,02/03/16,02/05/16,02/04/16
10,Maurice_White,02/03/16,02/05/16,02/04/16
11,Dave_Mirra,02/04/16,02/06/16,02/05/16
12,Edgar_Mitchell,02/04/16,02/06/16,02/05/16
13,Vanity,02/15/16,02/17/16,02/15/16
14,Antonin_Scalia,02/13/16,02/15/16,02/13/16
15,George_Gaynes,02/15/16,02/17/16,02/16/16
16,Angela_Raiola,02/18/16,02/20/16,02/18/16
17,Harper_Lee,02/19/16,02/21/16,02/19/16
18,Sonny_James,02/22/16,02/24/16,02/22/16
19,Tony_Burton,02/25/16,02/27/16,02/26/16
20,George_Kennedy,02/28/16,03/01/16,02/29/16
21,Lee_Reherman,03/01/16,03/03/16,03/01/16
22,Joey_Feek,03/04/16,03/06/16,03/04/16
23,Pat_Conroy,03/04/16,03/06/16,03/05/16
24,Nancy_Reagan,03/06/16,03/08/16,03/06/16
25,George_Martin,03/08/16,03/10/16,03/09/16
26,Keith_Emerson,03/11/16,03/13/16,03/11/16
27,Frank_Sinatra_Jr,03/16/16,03/18/16,03/17/16
28,Bob_Ebeling,03/21/16,03/23/16,03/21/16
29,Rob_Ford,03/22/16,03/24/16,03/23/16
30,Joe_Garagiola,03/23/16,03/25/16,03/23/16
31,Garry_Shandling,03/24/16,03/26/16,03/24/16
32,Jim_Harrison,03/26/16,03/28/16,03/27/16
33,Mother_Mary_Angelica,03/27/16,03/29/16,03/28/16
34,Patty_Duke,03/29/16,03/31/16,03/29/16
35,Erik_Bauersfeld,04/03/16,04/05/16,04/04/16
36,Merle_Haggard,04/06/16,04/08/16,04/06/16
37,David_Gest,04/12/16,04/14/16,04/12/16
38,Doris_Roberts,04/17/16,04/19/16,04/19/16
39,Les_Waas,04/19/16,04/21/16,04/28/16
40,Prince,04/21/16,04/23/16,04/22/16
41,Michelle_McNamara,04/21/16,04/23/16,04/23/16
42,Billy_Paul,04/24/16,04/26/16,04/25/16
43,Afeni_Shakur_Davis,05/02/16,05/04/16,05/03/16
44,Jane_Little,05/15/16,05/17/16,05/17/16
45,Emilio_Navaira,05/16/16,05/18/16,05/17/16
46,Guy_Clark,05/17/16,05/19/16,05/17/16
47,Morley_Safer,05/19/16,05/21/16,05/19/16
48,Alan_Young,05/19/16,05/21/16,05/20/16
49,Nick_Menza,05/21/16,05/23/16,05/23/16
50,Muhammad_Ali,06/03/16,06/05/16,06/04/16
